sutta_uid,language,abstract,url,priority
dn26,en,English translation of DN 26 (excerpt) from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/dn/dn.26.0.than.html,3
dn26,de,German translation of DN 26 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d26.htm,2
dn27,de,German translation of DN 27 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d27.htm,2
dn28,de,German translation of DN 28 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d28.htm,2
dn29,de,German translation of DN 29 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d29.htm,2
dn30,de,German translation of DN 30 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d30.htm,2
dn31,en,English translation of DN 31 from Access to Insight. Translator Narada Thera.,http://www.accesstoinsight.org/tipitaka/dn/dn.31.0.nara.html,2
dn31,en,"English translation of DN 31 from Access to Insight. Translator John Kelly, Sue Sawyer, and Victoria Yareham.",http://www.accesstoinsight.org/tipitaka/dn/dn.31.0.ksw0.html,3
dn31,en,English translation of DN 31 from Metta Net. Translator Nārada Thera.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/1Digha-Nikaya/Digha3/31-sigala-e2.html,9
dn31,de,German translation of DN 31 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d31.htm,2
dn32,en,English translation of DN 32 from Access to Insight. Translator Piyadassi Thera.,http://www.accesstoinsight.org/tipitaka/dn/dn.32.0.piya.html,3
dn32,de,German translation of DN 32 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d32.htm,2
dn33,de,German translation of DN 33 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d33_01-3.htm,2
dn34,de,German translation of DN 34 from palikanon.com. Neumann translation updated with original Nyanaponika renderings.,http://palikanon.com/digha/d34.htm,2
mn1,en,English translation of MN 1 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.001.than.html,3
mn1,en,English translation of MN 1 from Wikipitaka. Translator unknown.,http://tipitaka.wikia.com/wiki/Mulapariyaya_Sutta,5
mn1,en,English translation of MN 1 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/001-mulapariyaya-sutta-e1.html,8
mn1,fr,French translation of MN 1 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn001.html,1
mn1,de,German translation of MN 1 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m001z.html,2
mn1,de,German translation of MN 1 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m001n.htm,4
mn2,en,English translation of MN 2 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.002.than.html,3
mn2,en,English translation of MN 2 from Wikipitaka. Translator unknown.,http://tipitaka.wikia.com/wiki/Sabbasava_Sutta,5
mn2,en,English translation of MN 2 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/002-sabbasava-sutta-e1.html,8
mn2,fr,French translation of MN 2 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn002.html,1
mn2,de,German translation of MN 2 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m002z.html,2
mn2,de,German translation of MN 2 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m002n.htm,4
mn3,en,English translation of MN 3 from Wikipitaka. Translator unknown.,http://tipitaka.wikia.com/wiki/Dhammadayada_Sutta,5
mn3,en,English translation of MN 3 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/003-dhammadayada-sutta-e1.html,8
mn3,fr,French translation of MN 3 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn003.html,1
mn3,de,German translation of MN 3 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m003z.html,2
mn3,de,German translation of MN 3 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m003n.htm,4
mn4,en,English translation of MN 4 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.004.than.html,3
mn4,en,English translation of MN 4 from Wikipitaka. Translator unknown.,http://tipitaka.wikia.com/wiki/Bhayabherava_Sutta,5
mn4,en,English translation of MN 4 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/004-bhayabera-sutta-e1.html,8
mn4,fr,French translation of MN 4 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn004.html,1
mn4,de,German translation of MN 4 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m004z.html,2
mn4,de,German translation of MN 4 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m004n.htm,4
mn5,en,English translation of MN 5 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/005-anangana-sutta-e1.html,8
mn5,fr,French translation of MN 5 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn005.html,1
mn5,de,German translation of MN 5 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m005z.html,2
mn5,de,German translation of MN 5 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m005n.htm,4
mn6,en,English translation of MN 6 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/006-akankheyya-sutta-e1.html,8
mn6,fr,French translation of MN 6 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn006.html,1
mn6,de,German translation of MN 6 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m006z.html,2
