sutta_uid,other_sutta_uid,partial,footnote
mn36,mn85,1,Correspondence reference is MN ii 93.
mn36,mn100,1,Correspondence reference is MN ii 212.
mn36,ea31.8,1,
mn36,t757.2,1,
sa-2.202,sf80,1,
mn36,divy27,,
mn36,lal17a,,"The events described in MN 36 are treated in several Chinese Buddha biographies; e.g., the first <i>jhāna</i> experience of the bodhisatta can be found in the Chinese counterparts to the Lalitavistara and the Saṅghabhedavastu, T 186 at T iii 499b, T 187 at T iii 560b, and T 191 at T iii 944b, and also in such accounts as are found in T 184 at T iii 467b, T 185 at T iii 475b, T 188 at T iii 619b, T 189 at T iii 629a, T 190 at T iii 706a, T 192 at T iv 8c, and T 193 at T iv 66b; cf. also the Divyāvadāna in <span class='author'>Cowell</span> 1886 p. 391. | New edition <span class='author'>Vaidya</span> 1958b."
mn36,mvu30,,
sa967,sf79,1,
mn36,sbv10,,
mn36,sf5,,
mn36,sf64,,
mn36,sht28,,
mn36,sf287,,
mn37,sa505,,
mn37,ea19.3,,
mn38,ma201,,
mn38,ea21.3,1,
mn38,sht48,,
mn39,ma182,,
mn39,ea49.8,,
mn39,sht9,,Identified in SHT iv p. 335.
mn40,ma183,,
mn41,mn42,,
mn41,sa1042,,
mn41,sa1043,,
mn43,ma211,,"<span class='author'>Akanuma</span> p. 165 lists SA 251 at T ii 060b as another parallel. However, SA 251 should rather be reckoned as a parallel to SN 22.127–132 at SN iii 172, since it agrees with them in having Mahakoṭṭhita ask Sāriputta only about the implications of ignorance and its opposite, not about the whole range of topics treated in MN 43 and MA 211."
mn43,up3.064,1,
mn43,up9.008,1,
mn44,ma210,,
mn44,up1.005,1,
mn45,ma174,,
mn46,ma175,,
mn46,t83,,
mn47,ma186,,
mn49,ma78,,
mn49,up3.101,1,
mn50,ma131,,
mn50,t66,,
mn50,t67,,
mn50,sht42,,
mn50,sf279,,
mn51,sht7,,
mn52,an11.16,,
mn52,ma217,,
mn52,t92,,
mn54,ma203,,
mn54,sht61,,
mn55,sht76,,
mn56,ma133,,
mn56,up4.096,1,
mn56,sf72,,
mn56,sf97,,
mn56,sf109,,
mn56,sht17,,
mn56,sf281,,
mn56,sf286,,
mn57,t1536.7e,1,
mn58,t1509.35,1,
mn58,t1521.11,1,
mn59,sn36.19,,
mn59,sa485,,
mn59,sht12,,
mn60,sf44,,
mn60,sht29,,SHT iii 966 is identified in SHT vii p. 272. | SHT iv 165.32+37 is identified in SHT vi p. 212.
mn60,sf293,,
mn61,ma14,,
mn61,t211.31,,
mn61,t212.14,,
mn61,t1442.24,,
mn61,t1509.13,1,
mn61,dq80,,
mn61,sht49,,
mn62,ea17.1,,
mn63,ma221,,
mn63,t94,,
mn63,t1509.15,,
mn64,ma205,,
mn64,up?.???,1,
mn64,sht57,,
mn65,ma194,,
mn65,ea49.7,1,
mn65,t1425.17a,1,
mn65,sht15,,
mn66,ma192,,
mn66,ea49.7,1,"EA 49.7 is a partial parallel to M 65, as <span class='author'>Akanuma</span> p. 167 indicates. After reporting the Buddha’s instruction to Bhaddali ~(跋提婆羅) about taking only a single meal, EA 49.7 describes how Udayi (~優陀夷) once went begging at night and so startled a pregnant woman that she miscarried, a tale related also in MN 66 and MA 192. In EA 49.7 the Buddha comes to hear of this and addresses the monks on the benefit of taking a single meal, after which EA 49.7 returns to the events relating to Bhaddali. We therefore reckon EA 49.7 as a partial parallel to both MN 65 and MN 66."
mn66,t1421.8b,1,
mn66,t1428.14,1,
mn67,ea45.2,,
mn67,t137,,
mn68,ma77,,
mn69,ma26,,
mn70,ma195,,
mn72,sa962,,
mn72,sa-2.196,,
mn72,up3.057,1,
mn73,sa964,,
mn73,sa-2.198,,
mn74,sa969,,
mn74,sa-2.203,,
mn74,t200.90,,
mn74,t1509.1a,,
mn74,t1545.98,,
mn74,tib20,,
mn74,tib30,,
sa970,sf82,1,
mn74,avs99,,
mn74,sf81,1,
mn74,sf133,,New edition Hosoda 1989b.
mn75,ma153,,
mn76,sht27,,"<span class='author'>Akanuma</span> p. 167 lists SA 973 at T ii 251b and SA2 207 at T ii 451a as partial parallels to MN 76. These two discourses, in which Ānanda discusses the need to overcome lust, anger, and delusion and points to the noble eightfold path as the means to achieve this, are rather parallels to AN 3.71 at AN i 215. <span class='author'>Hartmann</span> 1992: 47 notes that a so far unpublished fragment parallel to MN 76 at MN i 513,13–514,26 can be found in the Hoernle collection. | SHT iii 886 is identified in SHT viii p. 183."
mn76,sf294,,
mn77,ma207,,
mn78,ma179,,
mn79,ma208,,
mn80,ma209,,
mn80,t90,,
mn81,ma63,,
mn81,t197.10,,
mn81,dq10,,
mn81,mvu10,,
an10.96,sf79,1,
mn81,sbv70,,
mn82,tha-ap20,1,
mn82,ma132,,
mn82,t68,,
mn82,t69,,
mn82,t199.18a,1,
mn82,t199.18b,1,
mn82,t1507.4,1,
mn82,dq60,,
mn82,tib10,,
sa-2.204,sf82,1,
mn82,avs90,,
mn82,sf101,,
mn82,sht18,,
mn82,sf283,,
mn83,ja9,,
mn83,ja541,,
mn83,ma67,,
mn83,ea1.1,1,
mn83,ea50.4,,
mn83,t152.87,,
mn83,t211.38,,
mn83,t744,1,
mn83,dq30,,
mn83,up2.050,,
mn84,sa548,,
