uid,division_uid,name,acronym,vagga_numbering_ind
pi-tv-bu-pm-ay,pi-tv-bu-pm,Aniyatā,An,
pi-tv-bu-pm-np,pi-tv-bu-pm,Nissaggiyā Pācittiyā,NP,
pi-tv-bu-pm-pc,pi-tv-bu-pm,Pācittiyā,Pc,
pi-tv-bu-pm-pd,pi-tv-bu-pm,Pāṭidesanīyā,Pd,
pi-tv-bu-pm-sk,pi-tv-bu-pm,Sekhiyā,Sk,
pi-tv-bu-pm-as,pi-tv-bu-pm,Adhikaraṇasamathā,As,
pi-tv-pvr-bu-pj,pi-tv-pvr-bu,Pārājika,Pj,
pi-tv-pvr-bu-ss,pi-tv-pvr-bu,Saṅghādisesā,Ss,
pi-tv-pvr-bu-ay,pi-tv-pvr-bu,Aniyatā,An,
pi-tv-pvr-bu-np,pi-tv-pvr-bu,Nissaggiyā Pācittiyā,NP,
pi-tv-pvr-bu-pc,pi-tv-pvr-bu,Pācittiyā,Pc,
pi-tv-pvr-bu-pd,pi-tv-pvr-bu,Pāṭidesanīyā,Pd,
pi-tv-pvr-bu-sk,pi-tv-pvr-bu,Sekhiyā,Sk,
pi-tv-pvr-bu-as,pi-tv-pvr-bu,Adhikaraṇasamathā,As,
zh-sv-bu-vb-pj,zh-sv-bu-vb,Pārājika,Pj,
zh-sv-bu-vb-ss,zh-sv-bu-vb,Saṅghādisesā,Ss,
zh-sv-bu-vb-ay,zh-sv-bu-vb,Aniyatā,An,
zh-sv-bu-vb-np,zh-sv-bu-vb,Nissaggiyā Pācittiyā,NP,
zh-sv-bu-vb-pc,zh-sv-bu-vb,Pācittiyā,Pc,
zh-sv-bu-vb-pd,zh-sv-bu-vb,Pāṭidesanīyā,Pd,
zh-sv-bu-vb-sk,zh-sv-bu-vb,Sekhiyā,Sk,
zh-sv-bu-vb-as,zh-sv-bu-vb,Adhikaraṇasamathā,As,
zh-sv-bu-pm-pj,zh-sv-bu-pm,Pārājika,Pj,
zh-sv-bu-pm-ss,zh-sv-bu-pm,Saṅghādisesā,Ss,
zh-sv-bu-pm-ay,zh-sv-bu-pm,Aniyatā,An,
zh-sv-bu-pm-np,zh-sv-bu-pm,Nissaggiyā Pācittiyā,NP,
zh-sv-bu-pm-pc,zh-sv-bu-pm,Pācittiyā,Pc,
zh-sv-bu-pm-pd,zh-sv-bu-pm,Pāṭidesanīyā,Pd,
zh-sv-bu-pm-sk,zh-sv-bu-pm,Sekhiyā,Sk,
zh-sv-bu-pm-as,zh-sv-bu-pm,Adhikaraṇasamathā,As,
zh-sv-bu-pm-2-pj,zh-sv-bu-pm-2,Pārājika,Pj,
